playmusic	play hora din moldova by yamazaki maso
playmusic	play some movement from 1959 on deezer
playmusic	play genre opera
playmusic	play zvooq southern gothic
playmusic	use the service lastfm to play artist keren peles from the most popular symphony
playmusic	play an album from the fourties
playmusic	play halid 08 by video game pianist on pandora
playmusic	play my frescura indie playlist
playmusic	play the seventies album on last fm
playmusic	play some p  j  proby
addtoplaylist	add butterfly house to nu metal
addtoplaylist	please add moon river to my metalcore playlist
addtoplaylist	add sam sparro to my playlist called beach vibes
addtoplaylist	add madman to trap land playlist
addtoplaylist	add welcome to the cruel world to my reggae classics playlist
addtoplaylist	please add this track to my weekend list
addtoplaylist	add this song to my metal playlist
addtoplaylist	i want a mi lu bing song in my pop dance playlist
addtoplaylist	add this tune to my top 100 rock tracks on spotify
addtoplaylist	i want you to put this track onto the playlist called throwback party
ratebook	rate this chronicle 3 stars
ratebook	rate this album 2 out of 6
ratebook	rate peveril of the peak a five
ratebook	i am giving the current novel a four out of 6 rating
ratebook	rate varney the vampire with 1 points
ratebook	give one out of 6 points to this essay
ratebook	the great science fiction stories about mars series deserves a rating of zero
ratebook	rate the current textbook 3 of 6 stars
ratebook	rate the series the quantity theory of insanity 1
ratebook	give this textbook a 0 out of 6
searchscreeningevent	what films are playing at pacific theatres
searchscreeningevent	can i get the showtimes for the closest movie theatre that has the newest films
searchscreeningevent	find the movie schedule for century theatres
searchscreeningevent	i d like to watch nathan the wise at the closest movie house
searchscreeningevent	when is for one night playing at loews cineplex entertainment
searchscreeningevent	what movie theatre is playing sherlock holmes and dr  watson fifteen hours and one minute from now
searchscreeningevent	show movie times at kerasotes theatres
searchscreeningevent	what time will the amco entertainment  be plying the teeth of the tiger
searchscreeningevent	which animated movies are playing at megaplex theatres at tea time
searchscreeningevent	find the flying ace
bookrestaurant	get me a reservation at a brasserie that serves jain in pinto
bookrestaurant	book an outdoor restaurant in md at 11 pm for 8
bookrestaurant	i need to find a restaurant for ten people at twelve am in liechtenstein
bookrestaurant	book a bistro for 4 at sunset
bookrestaurant	book a spot for 1 at a south american restaurant
bookrestaurant	book in ukraine at a highly rated restaurant
bookrestaurant	i d like to eat at a pho restaurant in vt
bookrestaurant	i would like to book a brasserie for nine in ar
bookrestaurant	book a close by brasserie in nc
bookrestaurant	make me a reservation somewhere near here for me and my step brother by adeline s apartment
getweather	how cold is it in princeton junction
getweather	will it be rainy at 8 in dans mountain state park
getweather	how will the weather be in bhutto family mausoleum next autumn
getweather	what will be the night temperate in indiana
getweather	what will the weather be like on september 26th in eastlake
getweather	will it get hotter far away in afghanistan
getweather	what is the gearhart forecast
getweather	can you tell me the weather conditions for patricia
getweather	what is forecast in keyes summit in new mexico at 3 pm
getweather	will it rain in six weeks  in libby
searchcreativework	find the painting strong enough
searchcreativework	search for the song banquet for the damned
searchcreativework	find the album biology today: an issues approach
searchcreativework	find wish you were here
searchcreativework	i need work of father dearest
searchcreativework	find the son of man show
searchcreativework	find a tv series called dirty politics
searchcreativework	can you help me find the we no who u r game
searchcreativework	play remains of the day
searchcreativework	find the game selling blue elephants
